objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,objectWikidata_URL,isTimelineWork,GalleryNumber,constituents.constituentID,constituents.role,constituents.name,constituents.constituentULAN_URL,constituents.constituentWikidata_URL,constituents.gender,measurements.elementName,measurements.elementDescription,measurements.elementMeasurements.Diameter,tags.term,tags.AAT_URL,tags.Wikidata_URL,measurements.elementMeasurements.Depth,measurements.elementMeasurements.Height,measurements.elementMeasurements.Width,measurements.elementMeasurements.Weight
75.0,False,37.15.2,1937,True,https://images.metmuseum.org/CRDImages/ad/original/110314.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/110314.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1770–1800,1770.0,1800.0,Iron,30 3/4 x 28 in. (78.1 x 71.1 cm),"Purchase, The Sylmaris Collection, Gift of George Coe Graves, by exchange, 1937",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/75,,False,,164285.0,Maker,Pierre Stephan,http://vocab.getty.edu/page/ulan/500100483,,,Overall,,,Cannons,http://vocab.getty.edu/page/aat/300036936,https://www.wikidata.org/wiki/Q81103,,30.5,,
76.0,False,37.46.1,1937,False,,,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1740–60,1740.0,1760.0,"Iron, brass",21 1/4 x 17 3/4 in. (54 x 45.1 cm),"Rogers Fund, 1937",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/76,,False,774,164285.0,Maker,Pierre Stephan,http://vocab.getty.edu/page/ulan/500100483,,,Overall,,,Swords,http://vocab.getty.edu/page/aat/300037048,https://www.wikidata.org/wiki/Q12791,,30.5,,
77.0,False,37.46.2,1937,False,,,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1740–60,1740.0,1760.0,"Iron, brass",21 1/4 x 17 3/4 in. (54 x 45.1 cm),"Rogers Fund, 1937",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/77,,False,774,164285.0,Maker,Pierre Stephan,http://vocab.getty.edu/page/ulan/500100483,,,Overall,,,Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441,,30.5,,
78.0,False,37.174.1,1937,True,https://images.metmuseum.org/CRDImages/ad/original/113560.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/113560.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,ca. 1700,1697.0,1700.0,"Brass, iron",17 3/4 x 24 in. (45.1 x 61 cm),"Rogers Fund, 1937",Made in,,,,Spain,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/78,,False,774,164285.0,Maker,Pierre Stephan,http://vocab.getty.edu/page/ulan/500100483,,,Overall,,,Cannons,http://vocab.getty.edu/page/aat/300036936,https://www.wikidata.org/wiki/Q81103,,31.4,,
79.0,False,37.174.2,1937,True,https://images.metmuseum.org/CRDImages/ad/original/113560.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/113560.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,ca. 1700,1697.0,1700.0,"Brass, iron",17 3/4 x 24 in. (45.1 x 61 cm),"Rogers Fund, 1937",Made in,,,,Spain,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/79,,False,774,164285.0,Maker,Pierre Stephan,http://vocab.getty.edu/page/ulan/500100483,,,Overall,,,Swords,http://vocab.getty.edu/page/aat/300037048,https://www.wikidata.org/wiki/Q12791,,31.4,,
80.0,False,39.184.46,1939,True,https://images.metmuseum.org/CRDImages/ad/original/120114.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/120114.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1760–80,1760.0,1780.0,"Brass, iron",25 1/2 x 22 1/4 x 13 1/2 in. (64.8 x 56.5 x 34.3 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/80,,False,718,164285.0,Maker,Pierre Stephan,http://vocab.getty.edu/page/ulan/500100483,,,Overall,,,Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441,,31.4,,
81.0,False,39.184.47,1939,True,https://images.metmuseum.org/CRDImages/ad/original/120114.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/120114.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1760–80,1760.0,1780.0,"Brass, iron",25 1/2 x 22 1/4 x 13 1/2 in. (64.8 x 56.5 x 34.3 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/81,,False,718,164285.0,Maker,Pierre Stephan,http://vocab.getty.edu/page/ulan/500100483,,,Overall,,,Admirals,http://vocab.getty.edu/page/aat/300236014,https://www.wikidata.org/wiki/Q132851,,31.4,,
84.0,False,41.160.340,1941,False,,,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1800–1850,1800.0,1850.0,Brass,16 1/8 x 15 1/4 x 8 1/8 in. (41 x 38.7 x 20.6 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/84,,False,774,,,,,,,Overall,,,Advertisements,http://vocab.getty.edu/page/aat/300193993,https://www.wikidata.org/wiki/Q39911916,,27.9,22.86,
85.0,False,41.160.341,1941,False,,,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1800–1850,1800.0,1850.0,Brass,16 1/8 x 15 1/4 x 8 1/8 in. (41 x 38.7 x 20.6 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/85,,False,774,1087.0,Maker,New England Glass Company,http://vocab.getty.edu/page/ulan/500356007,https://www.wikidata.org/wiki/Q17083157,,Other,,7.62,,,,,16.6688,,
86.0,False,41.160.344,1941,True,https://images.metmuseum.org/CRDImages/ad/original/127219.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/127219.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1730–70,1730.0,1770.0,Brass,19 1/4 x 19 1/2 x 11 3/4 in. (48.9 x 49.5 x 29.8 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/86,,False,774,162584.0,Maker,Union Glass Company,,,,Other,,7.4613,,,,,15.875,,
87.0,False,41.160.345,1941,True,https://images.metmuseum.org/CRDImages/ad/original/127219.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/127219.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1730–70,1730.0,1770.0,Brass,19 1/4 x 19 1/2 x 11 3/4 in. (48.9 x 49.5 x 29.8 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/87,,False,774,,,,,,,Overall,,,,,,35.2426,78.4,63.5,
88.0,False,41.160.346,1941,True,https://images.metmuseum.org/CRDImages/ad/original/126248.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/126248.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1770–1800,1770.0,1800.0,Brass,20 3/4 x 19 1/2 x 11 3/4 in. (52.7 x 49.5 x 29.8 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/88,,False,774,,,,,,,Overall,,,,,,35.2,78.4227,63.5,
89.0,False,41.160.347,1941,True,https://images.metmuseum.org/CRDImages/ad/original/126248.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/126248.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1770–1800,1770.0,1800.0,Brass,20 3/4 x 19 1/2 x 11 3/4 in. (52.7 x 49.5 x 29.8 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/89,,False,774,,,,,,,Overall,,,,,,,68.5801,,
90.0,False,41.160.372,1941,True,https://images.metmuseum.org/CRDImages/ad/original/127239.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/127239.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1770–1830,1770.0,1830.0,Brass,18 3/4 x 17 in. (47.6 x 43.2 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/90,,False,774,,,,,,,Overall,,,,,,,68.5801,,
91.0,False,41.160.373,1941,True,https://images.metmuseum.org/CRDImages/ad/original/127239.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/127239.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1770–1830,1770.0,1830.0,Brass,18 3/4 x 17 in. (47.6 x 43.2 cm),"Bequest of W. Gedney Beatty, 1941",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/91,,False,774,,,,,,,Overall,,,,,,,40.6401,,
92.0,False,46.67.126,1946,True,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-029.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-16170-029.jpg,The American Wing,Andiron,Andiron,American,,,,,,,,,,,,,,,,,1795–1815,1795.0,1815.0,"Brass, iron",23 1/4 x 23 1/2 in. (59.1 x 59.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/92,,False,729,,,,,,,Overall,,,,,,,40.6401,,
93.0,False,46.67.127,1946,True,https://images.metmuseum.org/CRDImages/ad/original/138510.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/138510.jpg,The American Wing,Andiron,Andiron,American,,,,,,,,,,,,,,,,,1795–1815,1795.0,1815.0,"Brass, iron",23 1/4 x 23 1/2 in. (59.1 x 59.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/93,,False,729,,,,,,,Overall,,,,,,,43.1801,,
94.0,False,47.137.1,1947,True,https://images.metmuseum.org/CRDImages/ad/original/139865.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/139865.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1700–1800,1700.0,1800.0,Iron,21 x 15 3/4 in. (53.3 x 40 cm),"Gift of Mrs. J. Insley Blair, 1947",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/94,,False,,,,,,,,Overall,,,,,,,43.1801,,
95.0,False,47.137.2,1947,True,https://images.metmuseum.org/CRDImages/ad/original/139865.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/139865.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1700–1800,1700.0,1800.0,Iron,21 x 15 3/4 in. (53.3 x 40 cm),"Gift of Mrs. J. Insley Blair, 1947",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/95,,False,,,,,,,,Overall,,,Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779,,29.2101,,
96.0,False,48.135.107,1948,False,,,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1700–1800,1700.0,1800.0,"Brass, iron",23 1/4 x 18 1/4 in. (59.1 x 46.4 cm),"Bequest of Adeline R. Brown, 1947",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/96,,False,774,,,,,,,Overall,,,Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779,,29.2101,,
97.0,False,48.135.108,1948,False,,,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1700–1800,1700.0,1800.0,"Brass, iron",23 1/4 x 18 1/4 in. (59.1 x 46.4 cm),"Bequest of Adeline R. Brown, 1947",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/97,,False,774,,,,,,,Overall,,,,,,,41.9101,,
98.0,False,48.158.2,1948,False,,,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1800–1900,1800.0,1900.0,"Brass, steel",11 3/8 x 14 1/2 x 12 in. (28.9 x 36.8 x 30.5 cm),"Gift of Mrs. J. Insley Blair, 1948",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/98,,False,774,,,,,,,Overall,,,,,,,41.9101,,
99.0,False,48.158.3,1948,False,,,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1800–1900,1800.0,1900.0,"Brass, steel",11 3/8 x 14 1/2 x 12 in. (28.9 x 36.8 x 30.5 cm),"Gift of Mrs. J. Insley Blair, 1948",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/99,,False,774,,,,,,,Overall,,,,,,,58.4201,,
100.0,False,49.73.4,1949,True,https://images.metmuseum.org/CRDImages/ad/original/144703.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/144703.jpg,The American Wing,Andiron,Andiron,American or British,,,,,,,,,,,,,,,,,1700–1800,1700.0,1800.0,Iron,18 3/4 x 17 1/2 x 10 3/4 in. (47.6 x 44.5 x 27.3 cm),"Gift of Mrs. J. Insley Blair, 1949",Possibly made in,,,,England,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/100,,False,774,,,,,,,Overall,,,,,,,58.4201,,
101.0,False,49.73.5,1949,True,https://images.metmuseum.org/CRDImages/ad/original/144703.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/144703.jpg,The American Wing,Andiron,Andiron,American or British,,,,,,,,,,,,,,,,,1700–1800,1700.0,1800.0,Iron,18 3/4 x 17 1/2 x 10 3/4 in. (47.6 x 44.5 x 27.3 cm),"Gift of Mrs. J. Insley Blair, 1949",Possibly made in,,,,England,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/101,,False,774,,,,,,,Overall,,,,,,,40.6401,,
102.0,False,1971.180.62a,1971,True,https://images.metmuseum.org/CRDImages/ad/original/197726.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/197726.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1790–1820,1790.0,1820.0,"Brass, iron",22 1/2 x 27 x 13 in. (57.2 x 68.6 x 33 cm),"Bequest of Flora E. Whiting, 1971",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/102,,False,774,,,,,,,Overall,,,,,,,40.6401,,
103.0,False,1971.180.62b,1971,True,https://images.metmuseum.org/CRDImages/ad/original/197727.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/197727.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1790–1820,1790.0,1820.0,"Brass, iron",22 1/2 x 27 x 13 in. (57.2 x 68.6 x 33 cm),"Bequest of Flora E. Whiting, 1971",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/103,,False,774,,,,,,,Overall,,,,,,,57.1501,58.4,
104.0,False,1980.499.4,1980,True,https://images.metmuseum.org/CRDImages/ad/original/224534.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/224534.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1700–1800,1700.0,1800.0,Wrought iron,24 x 11 1/2 x 16 in. (61 x 29.2 x 40.6 cm),"Gift of Mrs. Eleanor G. Sargent, 1980",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/104,,False,774,,,,,,,Overall,,,,,,,57.2,58.4201,
105.0,False,1980.499.5,1980,True,https://images.metmuseum.org/CRDImages/ad/original/224534.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/224534.jpg,The American Wing,Andiron,Andiron,,,,,,,,,,,,,,,,,,1700–1800,1700.0,1800.0,Wrought iron,24 x 11 1/2 x 16 in. (61 x 29.2 x 40.6 cm),"Gift of Mrs. Eleanor G. Sargent, 1980",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/105,,False,774,,,,,,,Overall,,,,,,34.3,64.1,54.6101,
106.0,False,1984.134.1,1984,True,https://images.metmuseum.org/CRDImages/ad/original/235820.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/235820.jpg,The American Wing,Andiron,Andiron,American,,,,,,,,,,,,,,,,,ca. 1800,1797.0,1800.0,Brass,H. 22 1/2 in. (57.2 cm); Diam. 29 in. (73.7 cm),"Friends of the American Wing Fund, 1984",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/106,,False,774,,,,,,,Overall,,,,,,34.3,64.1,54.6101,
107.0,False,1984.134.2,1984,True,https://images.metmuseum.org/CRDImages/ad/original/235820.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/235820.jpg,The American Wing,Andiron,Andiron,American,,,,,,,,,,,,,,,,,ca. 1800,1797.0,1800.0,Brass,H. 22 1/2 in. (57.2 cm); Diam. 29 in. (73.7 cm),"Friends of the American Wing Fund, 1984",Probably made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/107,,False,774,,,,,,,Overall,,,,,,,59.6901,,
108.0,False,1989.120.1,1989,True,https://images.metmuseum.org/CRDImages/ad/original/248479.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/248479.jpg,The American Wing,Andiron,Andiron,American,,,,,Maker,,John Bailey,"American, active New York, 1736–1815",,"Bailey, John",American,1736,1815,,,,1792–1814,1792.0,1814.0,Brass and iron,16 1/8 x 10 x 14 7/8 in. (41 x 25.4 x 37.8 cm),"Purchase, Mr. and Mrs. George M. Kaufman Gift, 1989",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/108,,False,774,,,,,,,Overall,,,,,,,59.6901,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,34.3,47.0,56.5151,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,34.2901,47.0,56.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,34.2901,53.3,53.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,34.3,53.3,53.3401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,78.1,71.1201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,78.1,71.1201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,54.0,45.0851,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,54.0,45.0851,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,45.0851,61.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,45.1,60.9601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,34.3,64.8,56.5151,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,34.3,64.8,56.5151,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,20.6,41.0,38.7351,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,20.6375,41.0,38.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,29.8451,48.9,49.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,29.8,48.9,49.5301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,29.8451,52.7,49.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,29.8,52.7,49.5301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,47.6,43.1801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,47.6,43.1801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,,59.1,59.6901,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,,59.1,59.6901,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,,59.1,59.6901,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,53.3,40.0051,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,53.3,40.0051,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,59.1,46.3551,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,59.1,46.3551,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,30.5,28.9,36.8301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,30.5,28.9,36.8301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,27.3,47.6251,44.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,27.3,47.6,44.4501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,33.0,57.2,68.5801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,33.0201,57.2,68.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,40.6,61.0,29.2101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,40.6,61.0,29.2101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,57.2,73.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Object diameter,73.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Object diameter,73.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,,,,,,,57.2,73.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166052.0,Maker,John Bailey,,,,Overall,,,,,,37.8,41.0,25.4001,
